scenario_method_id,scenario_id,method_id,constraint_name,constraint_status,lhs_value,operator,rhs_value,slack_value,diagnostic_note,allowed_use_note,proxy_assumption_label
scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,budget,pass,5530000,<=,10000000,4470000.0,Selected candidate cost is within the scenario budget.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,site_count,pass,10,<=,10,0.0,Selected candidate count is within the scenario k limit.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,solver_status,pass,benchmark_feasible,in,benchmark_feasible|optimal_milp|optimal_min_cost|optimal_shortlist,,benchmark_feasible is an accepted feasible status.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,objective_nonnegative,pass,12549288,>=,0,12549288.0,Objective value is nonnegative.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:baseline-topk,scenario:radius-aggressive,method:baseline-topk,coverage_floor,pass,12549288,>=,0,12549288.0,Covered demand meets the method coverage floor.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:mclp-shortlist-exact,scenario:radius-aggressive,method:mclp-shortlist-exact,budget,pass,550000,<=,10000000,9450000.0,Selected candidate cost is within the scenario budget.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:mclp-shortlist-exact,scenario:radius-aggressive,method:mclp-shortlist-exact,site_count,pass,1,<=,10,9.0,Selected candidate count is within the scenario k limit.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:mclp-shortlist-exact,scenario:radius-aggressive,method:mclp-shortlist-exact,solver_status,pass,optimal_shortlist,in,benchmark_feasible|optimal_milp|optimal_min_cost|optimal_shortlist,,optimal_shortlist is an accepted feasible status.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:mclp-shortlist-exact,scenario:radius-aggressive,method:mclp-shortlist-exact,objective_nonnegative,pass,12549288,>=,0,12549288.0,Objective value is nonnegative.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
scenario:radius-aggressive|method:mclp-shortlist-exact,scenario:radius-aggressive,method:mclp-shortlist-exact,coverage_floor,pass,12549288,>=,0,12549288.0,Covered demand meets the method coverage floor.,Constraint diagnostics for optimization QA only; smoke scope is not a full pilot rollout recommendation.,tile_smoke_optimization_constraint_diagnostics_not_investment_grade
